date,closed,report,query_string,lat,lng,query_score,field_score
9/11/2020,,"I-10 Eastbound and Westbound from MM 103 (I-49) to MM 109 (LA 328 – Breaux Bridge), Lafayette/St. Martin Parish – Intermittent Short Term Lane Closure","I-10+Eastbound+and+Westbound+from+MM+103+(I-49)+to+MM+109+(LA+328+–+Breaux+Bridge),+Lafayette/St.+Martin+Parish+–+Intermittent+Short+Term+Lane+Closure",0.0,0.0,0.0,0.0
9/11/2020,,"I-10 WB from MM 103 to MM 104, St. Martin Parish, Lane Closure H.003003","I-10+WB+from+MM+103+to+MM+104,+St.+Martin+Parish,+Lane+Closure+H.003003",0.0,0.0,0.0,0.0
9/11/2020,,I-10- Partial Road Closure - Project #: H.011024 - St. Tammany Parish (Oak Harbor Blvd.),I-10-+Partial+Road+Closure+-+Project+#:+H.011024+-+St.+Tammany+Parish+(Oak+Harbor+Blvd.),0.0,0.0,0.0,0.0
9/11/2020,,US 190 LANE CLOSURE AT LITTLE NATALBANY RIVER BRIDGE IN ALBANY,US+190+LANE+CLOSURE+AT+LITTLE+NATALBANY+RIVER+BRIDGE+IN+ALBANY,0.0,0.0,0.0,0.0
9/11/2020,,"I-310, St. Charles Parish, S.P. H.012617","I-310,+St.+Charles+Parish,+S.P.+H.012617",30.18101,-93.23806,0.53,"{'state': 1.0, 'city': 0.5, 'streets': [0.85]}"
9/11/2020,,I-10 - Partial Road Closure -  Project #: H.011024 - St. Tammany Parish - Slidell,I-10+-+Partial+Road+Closure+-++Project+#:+H.011024+-+St.+Tammany+Parish+-+Slidell,0.0,0.0,0.0,0.0
9/11/2020,,"UPDATE: Reopened- I-10 WB exit ramp for US 90, US 90 eastbound overpass - Calcasieu Parish","UPDATE:+Reopened-+I-10+WB+exit+ramp+for+US+90,+US+90+eastbound+overpass+-+Calcasieu+Parish",0.0,0.0,0.0,0.0
9/11/2020,,"LA 611-1 (River Road) from Arnoult Road to Highway Drive, Jefferson Parish, S.P. No H.012161","LA+611-1+(River+Road)+from+Arnoult+Road+to+Highway+Drive,+Jefferson+Parish,+S.P.+No+H.012161",0.0,0.0,0.0,0.0
9/11/2020,,I-10- Partial Road Closure - Project #: H.011024 - St. Tammany Parish (I-10 Ramps),I-10-+Partial+Road+Closure+-+Project+#:+H.011024+-+St.+Tammany+Parish+(I-10+Ramps),0.0,0.0,0.0,0.0
9/11/2020,,"LA 18 (River Road), St. Charles Parish, S.P. H.012600","LA+18+(River+Road),+St.+Charles+Parish,+S.P.+H.012600",29.95299,-90.31028,0.59,"{'state': 1.0, 'county': 1.0, 'streets': [1.0]}"
9/11/2020,,I-12 - Full Ramp Closure -  Project #: H.011152 I-12: US 190 - LA 59 - St. Tammany Parish,I-12+-+Full+Ramp+Closure+-++Project+#:+H.011152+I-12:+US+190+-+LA+59+-+St.+Tammany+Parish,0.0,0.0,0.0,0.0
9/11/2020,,"US 61, EAST & WEST FELICIANA, ST.FRANCISVILLE, H.013193","US+61,+EAST+&+WEST+FELICIANA,+ST.FRANCISVILLE,+H.013193",30.44223,-91.08833,0.76,"{'state': 1.0, 'streets': [1.0]}"
9/11/2020,,UPDATE - ROAD CLOSURE:  US 190 - TANGIPAHOA PARISH,UPDATE+-+ROAD+CLOSURE:++US+190+-+TANGIPAHOA+PARISH,30.50368,-90.46276,0.51,"{'state': 1.0, 'county': 1.0, 'streets': [1.0]}"
9/11/2020,,"US 90, Jefferson and St. Charles Parish, H.012051.6","US+90,+Jefferson+and+St.+Charles+Parish,+H.012051.6",29.8779,-90.43458,0.55,"{'state': 1.0, 'county': 1.0, 'city': 0.64, 'streets': [1.0]}"
9/11/2020,,"LA 541, Jefferson Parish, H.012553.6","LA+541,+Jefferson+Parish,+H.012553.6",29.76192,-90.11816,0.49,"{'state': 1.0, 'county': 1.0}"
9/11/2020,,*Update - Reopened* Hwy 465; Rapides and Vernon Parish,*Update+-+Reopened*+Hwy+465;+Rapides+and+Vernon+Parish,31.19844,-92.53309,0.31,"{'state': 1.0, 'county': 1.0}"
9/11/2020,,** REMINDER ** LA 440 - Full Road Closure - St. Helena Parish,**+REMINDER+**+LA+440+-+Full+Road+Closure+-+St.+Helena+Parish,0.0,0.0,0.0,0.0
9/11/2020,,"REVISED: LA 3152 Clearview Pkwy W. Metairie to Argonne St., Jefferson Parish, H.012571","REVISED:+LA+3152+Clearview+Pkwy+W.+Metairie+to+Argonne+St.,+Jefferson+Parish,+H.012571",30.0039,-90.18556,0.56,"{'state': 1.0, 'county': 1.0, 'city': 1.0, 'streets': [1.0], 'houseNumber': 1.0}"
9/11/2020,," I-10, Orleans Parish, H.013587.6","+I-10,+Orleans+Parish,+H.013587.6",30.01426,-89.9404,0.7,"{'state': 1.0, 'county': 1.0, 'streets': [0.85], 'houseNumber': 1.0}"
9/10/2020,,Lane closure on US 90 Business (Broad Street) – Calcasieu Parish,Lane+closure+on+US+90+Business+(Broad+Street)+–+Calcasieu+Parish,30.22948,-93.21837,0.55,"{'country': 1.0, 'state': 1.0, 'county': 1.0, 'streets': [1.0], 'houseNumber': 1.0}"
9/10/2020,,"** UPDATE: ROAD HAS REOPENED** LA 440, St Helena Parish, Road Closure","**+UPDATE:+ROAD+HAS+REOPENED**+LA+440,+St+Helena+Parish,+Road+Closure",0.0,0.0,0.0,0.0
9/10/2020,,LA 73/OLD JEFFERSON HIGHWAY (ASCENSION PARISH)  LANE CLOSURE,LA+73/OLD+JEFFERSON+HIGHWAY+(ASCENSION+PARISH)++LANE+CLOSURE,30.32405,-90.97752,0.64,"{'state': 1.0, 'county': 1.0, 'streets': [1.0]}"
9/10/2020,,DOTD announces upcoming US 190 Bridge lane closure in East Baton Rouge Parish,DOTD+announces+upcoming+US+190+Bridge+lane+closure+in+East+Baton+Rouge+Parish,30.53775,-91.09512,0.34,"{'country': 1.0, 'state': 1.0, 'county': 1.0}"
9/10/2020,,"Crescent City Connection, US 90B, Orleans Parish","Crescent+City+Connection,+US+90B,+Orleans+Parish",29.93771,-90.06167,0.82,"{'country': 1.0, 'state': 1.0, 'county': 1.0, 'streets': [1.0]}"
9/10/2020,,"UPDATE: Black Bayou Bridge open to motorists, Grand Lake Bridge open - Cameron/Calcasieu Parishes","UPDATE:+Black+Bayou+Bridge+open+to+motorists,+Grand+Lake+Bridge+open+-+Cameron/Calcasieu+Parishes",0.0,0.0,0.0,0.0
9/10/2020,,"LA 182 at the Berwick Bay Bridge in Berwick, St. Mary Parish, Bridge Closure for Routine Bridge Inspections","LA+182+at+the+Berwick+Bay+Bridge+in+Berwick,+St.+Mary+Parish,+Bridge+Closure+for+Routine+Bridge+Inspections",0.0,0.0,0.0,0.0
9/10/2020,,"I-10 EB on the Atchafalaya Basin Bridge from MM 120.5 to 127.5, St. Martin Parish, Lane Closure for Routine Bridge Inspections","I-10+EB+on+the+Atchafalaya+Basin+Bridge+from+MM+120.5+to+127.5,+St.+Martin+Parish,+Lane+Closure+for+Routine+Bridge+Inspections",0.0,0.0,0.0,0.0
9/10/2020,,"LA 3073 (Ambassador Caffery Parkway) SB from Ridge Rd. to Acadiana Mall Access Drive, Lafayette Parish, Alternating Lane Closures","LA+3073+(Ambassador+Caffery+Parkway)+SB+from+Ridge+Rd.+to+Acadiana+Mall+Access+Drive,+Lafayette+Parish,+Alternating+Lane+Closures",0.0,0.0,0.0,0.0
9/10/2020,,"REVISED: I-10, Orleans Parish, H.013587.6","REVISED:+I-10,+Orleans+Parish,+H.013587.6",30.01426,-89.9404,0.58,"{'state': 1.0, 'county': 1.0, 'streets': [0.85], 'houseNumber': 1.0}"
9/9/2020,,H.014310 – I-10 WB Rail Replacement over Maximillian Street -- East Baton Rouge Parish,H.014310+–+I-10+WB+Rail+Replacement+over+Maximillian+Street+--+East+Baton+Rouge+Parish,0.0,0.0,0.0,0.0
9/9/2020,,I-10 WB at the Off Ramp to LA 975 (Exit 127 to Whiskey Bay) Lane Closure:,I-10+WB+at+the+Off+Ramp+to+LA+975+(Exit+127+to+Whiskey+Bay)+Lane+Closure:,0.0,0.0,0.0,0.0
9/9/2020,,"US 61, from Williams Blvd. to Alliance Ave, Jefferson Parish, S.P. No H.013209","US+61,+from+Williams+Blvd.+to+Alliance+Ave,+Jefferson+Parish,+S.P.+No+H.013209",0.0,0.0,0.0,0.0
9/9/2020,,Terrebonne Parish- La 182 @ Hollywood Road,Terrebonne+Parish-+La+182+@+Hollywood+Road,29.60574,-90.74582,0.8,"{'state': 1.0, 'county': 1.0, 'streets': [0.93], 'houseNumber': 1.0}"
9/9/2020,,"US 90B, Crescent City Connection, Orleans Parish","US+90B,+Crescent+City+Connection,+Orleans+Parish",29.93771,-90.06167,0.82,"{'country': 1.0, 'state': 1.0, 'county': 1.0, 'streets': [1.0]}"
9/9/2020,,"I-10, Jefferson and St. Charles Parish, S.P. No. H.011670","I-10,+Jefferson+and+St.+Charles+Parish,+S.P.+No.+H.011670",0.0,0.0,0.0,0.0
9/9/2020,,RAMP CLOSURES: I-20 WB & EB in Lincoln & Ouachita Parishes,RAMP+CLOSURES:+I-20+WB+&+EB+in+Lincoln+&+Ouachita+Parishes,30.44335,-91.18664,0.35,{'state': 1.0}
9/9/2020,,LA 16 - Partial Road Closure -  Project #: H.013724 - Livingston Parish,LA+16+-+Partial+Road+Closure+-++Project+#:+H.013724+-+Livingston+Parish,0.0,0.0,0.0,0.0
9/9/2020,,I-55 Frontage Road - Full Road Closure -  Project #: H.012874 - Tangipahoa Parish,I-55+Frontage+Road+-+Full+Road+Closure+-++Project+#:+H.012874+-+Tangipahoa+Parish,0.0,0.0,0.0,0.0
9/9/2020,,ROAD CLOSURE UPDATES: Central LA Region (Alexandria District),ROAD+CLOSURE+UPDATES:+Central+LA+Region+(Alexandria+District),31.31266,-92.44568,0.32,"{'state': 1.0, 'city': 1.0}"
9/9/2020,,"US 61: Bayou Manchac & Bayou Francois Bridges, Lane Closure, East Baton Rouge & Ascension Parishes *Update*","US+61:+Bayou+Manchac+&+Bayou+Francois+Bridges,+Lane+Closure,+East+Baton+Rouge+&+Ascension+Parishes+*Update*",30.29472,-90.40282,0.72,"{'country': 1.0, 'state': 1.0, 'district': 1.0}"
9/9/2020,,"LA 541 (River Road), Jefferson Parish","LA+541+(River+Road),+Jefferson+Parish",29.91991,-90.20114,0.71,"{'state': 1.0, 'county': 1.0, 'streets': [1.0]}"
9/9/2020,,"US 90, Jefferson and St. Charles Parish, H.012051.6","US+90,+Jefferson+and+St.+Charles+Parish,+H.012051.6",29.8779,-90.43458,0.55,"{'state': 1.0, 'county': 1.0, 'city': 0.64, 'streets': [1.0]}"
9/9/2020,,"I-10, Jefferson and St. Charles Parish, S.P. No. H.013839","I-10,+Jefferson+and+St.+Charles+Parish,+S.P.+No.+H.013839",0.0,0.0,0.0,0.0
9/9/2020,,"US 61 from RR Overpass to LA 50, in Jefferson & St. Charles Parish, S.P. No H.000320","US+61+from+RR+Overpass+to+LA+50,+in+Jefferson+&+St.+Charles+Parish,+S.P.+No+H.000320",30.46254,-91.10283,0.51,"{'state': 1.0, 'district': 0.59, 'streets': [1.0]}"
9/9/2020,,"LA 47, MRGO Bridge, Orleans Parish","LA+47,+MRGO+Bridge,+Orleans+Parish",30.06872,-89.93131,0.44,"{'state': 1.0, 'county': 1.0}"
9/9/2020,,I-10 WB RAMP CLOSURE (EAST BATON ROUGE PARISH) HIGHLAND RD. WB OFF RAMP,I-10+WB+RAMP+CLOSURE+(EAST+BATON+ROUGE+PARISH)+HIGHLAND+RD.+WB+OFF+RAMP,0.0,0.0,0.0,0.0
9/9/2020,,I-10 WB RAMP CLOSURE (EAST BATON ROUGE PARISH) HIGHLAND RD. WB ON RAMP,I-10+WB+RAMP+CLOSURE+(EAST+BATON+ROUGE+PARISH)+HIGHLAND+RD.+WB+ON+RAMP,0.0,0.0,0.0,0.0
9/9/2020,,I-10 WB (EAST BATON ROUGE PARISH) MM 168 TO MM 165 LANE CLOSURE,I-10+WB+(EAST+BATON+ROUGE+PARISH)+MM+168+TO+MM+165+LANE+CLOSURE,0.0,0.0,0.0,0.0
9/8/2020,,I-12 - Partial Road Closure -  Project #: H.011278 - Livingston Parish,I-12+-+Partial+Road+Closure+-++Project+#:+H.011278+-+Livingston+Parish,0.0,0.0,0.0,0.0
9/8/2020,,I-12 - Partial Road Closure -  Project #: H.011278 - Livingston Parish,I-12+-+Partial+Road+Closure+-++Project+#:+H.011278+-+Livingston+Parish,0.0,0.0,0.0,0.0
9/8/2020,,I-12 - Partial Road Closure -  Project #: H.011152 I-12: US 190 - LA 59 - St. Tammany Parish,I-12+-+Partial+Road+Closure+-++Project+#:+H.011152+I-12:+US+190+-+LA+59+-+St.+Tammany+Parish,0.0,0.0,0.0,0.0
9/8/2020,,"LANE CLOSURE: I-20 westbound near Industrial Drive, Bossier Parish","LANE+CLOSURE:+I-20+westbound+near+Industrial+Drive,+Bossier+Parish",0.0,0.0,0.0,0.0
9/8/2020,,"US 167 (Johnston Street) NB & SB from West/East Broussard Road to Duhon Rd./South City Pkwy., Lafayette Parish, Alternating Lane Closures","US+167+(Johnston+Street)+NB+&+SB+from+West/East+Broussard+Road+to+Duhon+Rd./South+City+Pkwy.,+Lafayette+Parish,+Alternating+Lane+Closures",30.2246,-92.01242,0.93,"{'country': 1.0, 'state': 1.0, 'streets': [1.0], 'houseNumber': 1.0}"
9/8/2020,,"RESCHEDULED:  I-10 EB from MM 114.5 to MM 117 (Atchafalaya Basin Bridge), St. Martin Parish, Intermittent Short Term Lane Closures","RESCHEDULED:++I-10+EB+from+MM+114.5+to+MM+117+(Atchafalaya+Basin+Bridge),+St.+Martin+Parish,+Intermittent+Short+Term+Lane+Closures",30.36691,-91.71005,0.31,"{'country': 0.43, 'state': 1.0, 'county': 1.0, 'city': 0.29, 'district': 1.0}"
9/8/2020,,"I-10 WB from MM 104 (Vermilion River) to MM 103 (I-49), Lafayette Parish, Lane Closure","I-10+WB+from+MM+104+(Vermilion+River)+to+MM+103+(I-49),+Lafayette+Parish,+Lane+Closure",0.0,0.0,0.0,0.0
9/8/2020,,"I-10 WB Exit Ramp at Exit 104 - Louisiana Avenue, Lafayette Parish, Ramp Closure","I-10+WB+Exit+Ramp+at+Exit+104+-+Louisiana+Avenue,+Lafayette+Parish,+Ramp+Closure",0.0,0.0,0.0,0.0
9/8/2020,,H.013331 -- LA 427: Perkins Rd. -- East Baton Rouge Parish,H.013331+--+LA+427:+Perkins+Rd.+--+East+Baton+Rouge+Parish,30.34311,-91.01849,0.64,"{'state': 1.0, 'city': 1.0, 'streets': [1.0]}"
9/8/2020,,H.013483 -- LA 327: River Road -- East Baton Rouge Parish,H.013483+--+LA+327:+River+Road+--+East+Baton+Rouge+Parish,30.44979,-91.19058,0.62,"{'state': 1.0, 'city': 1.0, 'streets': [1.0], 'houseNumber': 1.0}"
9/8/2020,,"LA 134 in Ouachita Parish, Traffic Shift; SP H.008221","LA+134+in+Ouachita+Parish,+Traffic+Shift;+SP+H.008221",0.0,0.0,0.0,0.0
9/5/2020,,"**Update: Reopened**  US 171; Anacoco, Vernon Parish","**Update:+Reopened**++US+171;+Anacoco,+Vernon+Parish",31.25186,-93.3402,0.51,"{'country': 1.0, 'state': 1.0, 'county': 1.0, 'city': 1.0}"
9/4/2020,,NOW OPEN  Road Closures Due to High Water – Vermilion Parish,NOW+OPEN++Road+Closures+Due+to+High+Water+–+Vermilion+Parish,0.0,0.0,0.0,0.0
9/4/2020,,LA 16 - Partial Road Closure -  Project #: H.013230 - Livingston Parish,LA+16+-+Partial+Road+Closure+-++Project+#:+H.013230+-+Livingston+Parish,0.0,0.0,0.0,0.0
9/4/2020,,LA 23 SB (Belle Chasse Tunnel) Closure,LA+23+SB+(Belle+Chasse+Tunnel)+Closure,29.74277,-90.01714,0.62,"{'state': 1.0, 'city': 1.0, 'streets': [1.0]}"
9/4/2020,,"UPDATE: CANCELED: I-10, Jefferson and St. Charles Parish, S.P. No. H.011670","UPDATE:+CANCELED:+I-10,+Jefferson+and+St.+Charles+Parish,+S.P.+No.+H.011670",0.0,0.0,0.0,0.0
9/4/2020,,"LA 611-1 (River Road) from Arnoult Road to Highway Drive, Jefferson Parish, S.P. No H.012161","LA+611-1+(River+Road)+from+Arnoult+Road+to+Highway+Drive,+Jefferson+Parish,+S.P.+No+H.012161",0.0,0.0,0.0,0.0
9/4/2020,,"I-310, St. Charles Parish, S.P. H.012617","I-310,+St.+Charles+Parish,+S.P.+H.012617",30.18101,-93.23806,0.53,"{'state': 1.0, 'city': 0.5, 'streets': [0.85]}"
9/4/2020,,"LA 47, Orleans & St. Bernard Parish, H.013560.6","LA+47,+Orleans+&+St.+Bernard+Parish,+H.013560.6",30.00471,-89.93902,1.0,"{'state': 1.0, 'county': 1.0, 'streets': [1.0]}"
9/4/2020,,***Road Closure*** Iberville Parish  LA 75 at Bayou Sorrel Bridge,***Road+Closure***+Iberville+Parish++LA+75+at+Bayou+Sorrel+Bridge,30.19187,-91.30906,0.57,"{'state': 1.0, 'county': 1.0, 'district': 1.0, 'streets': [1.0]}"
