Index,User,Text,Date,Favorites,Retweets,Mentions,HashTags,streets,highways,exits,markers,road_closed,predictions,query,query_string,lat,lng,query_score,field_score
591,iembot_lch,"At 4:45 PM CDT, Burns Point [St. Mary Co, LA] PUBLIC reports STORM SURGE. STORM SURGE BEGINNING TO COVER PORTIONS OF HIGHWAY 317. PHOTOS VIA SOCIAL MEDIA. https://mesonet.agron.iastate.edu/lsr/#LCH/202008262145/202008262145",2020-08-27 21:47:48+00:00,0,0,,,[],['highway 317'],[],[],0.0,0.0,'highway 317',highway+317,29.66254,-91.48872,0.99,"{'state': 0.89, 'streets': [1.0]}"
646,TotalTrafficBTR,Downed tree cleared in #WestBatonRouge on I 10 WB after LA-415/Lobdell/Exit 151 and before LA-77/Rosedale/Grosse Tete/Exit 139 #traffic http://bit.ly/12oyfoo,2020-08-27 11:50:43+00:00,0,0,,#WestBatonRouge #traffic,[],[],"['exit 151', 'exit 139']",[],,0.0,"'exit 151', 'exit 139'",exit+151%2C++exit+139,30.57016,-92.07275,0.68,"{'state': 0.89, 'streets': [0.3], 'houseNumber': 1.0}"
402,TotalTrafficHOU,Accident. two left lanes blocked in #Spring on I-45 NB at Rayford / Sawdust #traffic http://bit.ly/17hsIjn,2020-08-30 16:00:43+00:00,0,0,,#Spring #traffic,[],['i-45'],[],[],1.0,1.0,'i-45',i-45,30.44335,-91.18664,0.73,{'state': 0.89}
365,TotalTrafficHOU,"Construction work in #Baytown on I-10 EB at FM 3180/Exit 800, stopped traffic back to Sjolander #traffic http://bit.ly/17hsIjn",2020-08-31 11:55:44+00:00,0,0,,#Baytown #traffic,[],['i-10'],['exit 800'],[],1.0,1.0,"'i-10','exit 800'",i-10%2C+exit+800,30.44335,-91.18664,0.44,{'state': 0.89}
428,TotalTrafficHOU,Accident. right lane blocked in #WestSide on W Sam Houston Tollway NB before The I-10 Katy Fwy #traffic http://bit.ly/17hsIjn,2020-08-29 18:55:43+00:00,0,0,,#WestSide #traffic,['right lane'],['i-10'],[],[],1.0,1.0,"'right lane','i-10'",right+lane%2C+i-10,32.01282,-93.72278,0.85,"{'state': 0.89, 'streets': [0.9]}"
451,TotalTrafficAUS,"Disabled vehicle, shoulder blocked in #Travis on I-35 NB at Ben White #ATXtraffic http://bit.ly/10BGKax",2020-08-29 12:50:43+00:00,0,0,,#Travis #ATXtraffic,[],['i-35'],[],[],1.0,1.0,'i-35',i-35,30.44335,-91.18664,0.73,{'state': 0.89}
928,HTMsports,Small steppin’ down memory lane. 15 yrs ago we got molly whopped,2020-08-27 16:33:51+00:00,0,5,,,['memory lane'],[],[],[],0.0,0.0,'memory lane',memory+lane,30.19179,-93.25052,0.99,"{'state': 0.89, 'streets': [1.0]}"
555,TotalTrafficHOU,Stalled vehicle affects the connecting ramp to w. loop 610 in #NwSide on US-290 NW EB at The W Lp #traffic http://bit.ly/17hsIjn,2020-08-28 14:30:43+00:00,0,0,,#NwSide #traffic,[],['us-290'],[],[],0.0,1.0,'us-290',us-290,30.44335,-91.18664,0.77,"{'country': 1.0, 'state': 0.89}"
908,BHGREGaryGreene,See a virtual tour of our listing on 18314 Harmony Bluff Lane #Houston #TX #realestate https://tour.corelistingmachine.com/home/EYMVX6,2020-08-28 22:34:55+00:00,0,0,,#Houston #TX #realestate,['bluff lane'],[],[],[],0.0,0.0,'bluff lane',bluff+lane,30.17632,-92.03754,0.99,"{'state': 0.89, 'streets': [1.0]}"
851,TotalTrafficAUS,"Accident cleared in #Austin on I 35 SB at Berrywood Dr/Meadow Lark Ave, stop and go traffic back to Howard Ln/Exit 246 #ATXtraffic http://bit.ly/10BGKax",2020-08-24 14:25:43+00:00,0,0,,#Austin #ATXtraffic,['lark ave'],[],['exit 246'],[],,1.0,"'lark ave','exit 246'",lark+ave%2C+exit+246,30.69227,-92.25801,0.77,"{'state': 0.89, 'streets': [0.86], 'houseNumber': 1.0}"
994,TotalTrafficAUS,Vehicle on fire in #Georgetown on Hwy 29 EB before Cnty Rd 366 #ATXtraffic http://bit.ly/10BGKax,2020-08-29 16:30:43+00:00,0,0,,#Georgetown #ATXtraffic,['cnty rd'],['hwy 29'],[],[],1.0,1.0,"'cnty rd','hwy 29'",cnty+rd%2C+hwy+29,0.0,0.0,0.0,0.0
306,KALBtv5,"The Louisiana Department of Transportation and Development, (DOTD), advises the public that the Jackson Street Bridge over the Red River IS NOW OPEN TO ALL TRAFFIC.",2020-08-31 21:20:44+00:00,2,1,,,['jackson street'],[],[],[],,0.0,'jackson street',jackson+street,31.2913,-92.46925,0.99,"{'state': 0.89, 'streets': [1.0]}"
739,TotalTrafficAUS,"Accident reported in #Williamson on I 35 NB at 620/Exit 252, stopped traffic back to Hesters Crossing/Bus 35 #ATXtraffic http://bit.ly/10BGKax",2020-08-26 01:35:43+00:00,0,0,,#Williamson #ATXtraffic,[],[],['exit 252'],[],1.0,1.0,'exit 252',exit+252,30.57065,-92.07454,0.99,"{'state': 0.89, 'streets': [0.3], 'houseNumber': 1.0}"
