date,report
9/18/2020,"I-10 Westbound Bridge Joint Repair over City Park Lake/Dalrymple Dr., East Baton Rouge Parish"
9/18/2020,"LA 611-1 (River Road), Jefferson Parish, S.P. No H.012161"
9/18/2020,"ROAD CLOSURE: Swan Lake Road northbound at I-220, Bossier Parish"
9/18/2020,"US 61, Jefferson Parish, S.P. No H.013209"
9/18/2020,"Intersection of LA 792 and LA 154 in Jamestown, Bienville Parish converted to 4-way stop"
9/18/2020,"I-10, Jefferson and St. Charles Parish, S.P. No. H.011670"
9/18/2020,"US HWY 61 EAST & WEST FELICIANA LINE/THOMPSON CR BRIDGE, H.013193"
9/18/2020,**LANE CLOSURE** US 71; over Saline Bayou; Natchitoches Parish
9/18/2020,**LANE CLOSURE** US 84; over Dugdemona River; Winn Parish
9/18/2020, I-55: LA22 INTERSTATE LIGHTING – TANGIPAHOA PARISH - STATE PROJECT H.012874
9/18/2020,"UPDATE: ***IS OPEN***Flood Gate, LA 39, Plaquemines Parish"
9/18/2020,UPDATE: ***IS OPEN***LA 56 flood gate is closed (Terrebonne Parish)
9/18/2020,***NOW OPENED***ROAD CLOSURE DUE TO WATER - ST. TAMMANY PARISH (LA 1077/LAKE ROAD MADISONVILLE)
9/18/2020,"US 167 (NE Evangeline Thruway) from Mudd Avenue to Goldman Street, Lafayette Parish, Lane Closure"
9/18/2020,"Louisiana Avenue SB under the I-10 Overpass, Lafayette Parish, Alternating Lane Closures"
9/18/2020,"NOW OPEN: Humble Canal Bridge on LA 3147 in Freshwater City, Vermilion Parish"
9/18/2020,"US 90, Jefferson and St. Charles Parish, H.012051.6"
9/18/2020,"LA 541, Jefferson Parish, H.012553.6"
9/18/2020,LA 507 OVERPASS AT I-20 (EXIT 77) CONSTRUCTION / LINCOLN PARISH
9/17/2020,UPDATE - LA 40- Partial Road Closure -  Project #: H.002446 - St. Tammany Parish
9/17/2020,LA 135 @ Muddy Bayou Bridge Now Open to Traffic
9/17/2020,St. Tammany Parish:  LA 41 (Dump Road - LA 435) - Lane Closures
9/17/2020,"LA 47, Orleans & St. Bernard Parish, H.013560.6"
9/17/2020,"I-10, Orleans Parish, H.013587.6"
9/17/2020,"REVISED: LA 3152 Clearview Pkwy W. Metairie to Argonne St., Jefferson Parish, H.012571"
9/17/2020,US 190 WB - ERWINVILLE (WEST BATON ROUGE PARISH) LANE CLOSURE
9/17/2020,US 190 WB - ERWINVILLE (WEST BATON ROUGE PARISH) LANE CLOSURE
9/17/2020,"REOPENED!  I-55 Northbound and Southbound Ramps at Ruddock, St. John the Baptist Parish"
9/17/2020,"LA 1247:  LA 1 - LA 1010, Road Closure, Assumption Parish"
9/17/2020,Lane closed on US 90 Business under I-210 overpass
9/17/2020,Grand Lake Bridge Is Now Open To Vehicles
9/17/2020,I-10 WB (EAST BATON ROUGE PARISH) LANE CLOSURE - LA 73 WB ON RAMP
9/17/2020,LA 42-HIGHLAND ROAD (EAST BATON ROUGE PARISH) ROAD CLOSURE
9/17/2020,I-10 EB (EAST BATON ROUGE PARISH) LANE CLOSURE - LA 73 EB OFF RAMP
9/17/2020,I-10 (EAST BATON ROUGE PARISH) LANE CLOSURE - MM 173 TO MM 169
9/17/2020,I-10 EB (EAST  BATON ROUGE PARISH) LANE CLOSURE - MM 165 to MM 166
9/17/2020,I-10 EB (EAST BATON ROUGE PARISH) LANE CLOSURE - MM 165 to MM 166
9/17/2020,"LA 611-1 (River Road), Jefferson Parish, S.P. No H.012161"
9/16/2020,I-12 - Partial Road Closure -  Project #: H.011278 - Livingston Parish
9/16/2020,"US 165 in Ouachita Parish; Lane Closure, SP No. H.008221"
9/16/2020,LA 75/RIVER ROAD (ASCENSION PARISH) ROAD CLOSURE
9/16/2020,"UPDATE: U.S. 11, Orleans Parish"
9/16/2020,"UPDATE: LA 300, St. Bernard Parish"
9/16/2020,"UPDATE: LA 46, Florissant Highway, St. Bernard Parish"
9/16/2020,"UPDATE: LA 624, St. Bernard Parish"
9/16/2020,"UPDATE: LA 625, St. Bernard Parish"
9/16/2020,"UPDATE: Flood Gate, LA 300, St. Bernard Parish"
9/16/2020,"Huey P. Long Bridge, US 90, Jefferson Parish"
9/16/2020,CANCELED - H.014310 – I-10 WB Rail Replacement over Maximillian Street -- East Baton Rouge Parish
9/16/2020,"I-10, Jefferson Parish"
9/16/2020,H.011295 -- LA 73: Government St. -- East Baton Rouge Parish
9/16/2020,H.011295 -- LA 73: Government St. -- East Baton Rouge Parish
9/16/2020,"H.014145, LA 418: LA 1 - LA 417, Pointe Coupee Parish"
9/16/2020,UPDATE - ROAD CLOSURE:  US 190 - TANGIPAHOA PARISH
9/16/2020,LA 59- Partial - Project #: H.011030 - St. Tammany Parish
9/16/2020,I-12- Partial - Project #: H.011152 I-12: US 190 - LA 59 - St. Tammany Parish
9/16/2020,"CANCELED: Harvey Tunnel, US 90B, Jefferson Parish"
9/16/2020,ROADWAY IS NOW OPENED - LA 434 - BAYOU LIBERTY - ST. TAMMANY PARISH
9/16/2020,Update on Grand Lake Bridge in Cameron Parish
9/16/2020,"UPDATE: Flood Gate, US 90, Orleans Parish"
9/16/2020,"UPDATE: U.S. 90, Orleans Parish"
9/16/2020,"UPDATE: LA 1, from LA 3090 to Grand Isle, Lafourche Parish"
9/16/2020,"LA 18 (River Road), St. Charles Parish, S.P. H.012600"
9/16/2020,"I-310, St. Charles Parish, S.P. H.012617"
9/16/2020,LA 440 - Full Road Closure - St. Helena Parish
9/16/2020,"UPDATE: LA 1, from Golden Meadow to Leeville, Lafourche Parish"
9/16/2020,"LANE CLOSURES: US 80 (Texas St.) Bridge over Red River, Caddo & Bossier Parishes"
9/16/2020,"UPDATE Flood Gates, LA 46, St. Bernard Parish"
9/16/2020,"UPDATE: Flood Gate, US 11, Orleans Parish"
9/16/2020,** UPDATE - RESCHEDULED DUE TO HURRICANE SALLY ** LA 440 - Full Road Closure - St. Helena Parish
9/16/2020,"Black Bayou Bridge closed to motorists, Grand Lake Bridge open - Calcasieu/Cameron Parishes"
9/16/2020,"Crescent City Connectio, US 90B, Orleans Parish"
9/15/2020,"I-12, Livingston Parish, Westbound Entrance and Exit Ramp Closures, S.P. H.012875"
9/15/2020,"I-10 Westbound Bridge Joint Repair over City Park Lake/Dalrymple Dr., East Baton Rouge Parish"
9/15/2020,"LA 138 in Morehouse Parish, Road Closure; SP H.010470"
9/15/2020,"LA 3073 (Ambassador Caffery Parkway) Vermilion River Bridge, Lafayette Parish - Multiple Bridge Openings"
9/15/2020,UPDATE: Lane closures begin for project to replace pavement markings on LA 3132 in Shreveport
9/15/2020,PROJECT UPDATE: LA 530 bridge replacement over Black Bayou in Caddo Parish
9/15/2020,"REVISED:  I-10, Orleans Parish, H.013587.6"
9/15/2020,"I-10 WB on the Atchafalaya Basin Bridge from MM 120.5 to 127.5, St. Martin Parish, Lane Closure for Routine Bridge Inspections"
9/15/2020,"I-10 WB on the Atchafalaya Basin Bridge from MM 122.5 to 127.5, St. Martin Parish, Lane Closure for Routine Bridge Inspections"
9/15/2020,"US 61: Bayou Manchac & Bayou Francois Bridges, Lane Closure, East Baton Rouge & Ascension Parishes *Updated Dates*"
9/15/2020,"US 90 EB & WB on the Atchafalaya River Bridge, Bayou Ramous Bridge, and Bayou Boeuf Bridge, St. Mary Parish, Alternating Lane Closures"
9/15/2020,"RESCHEDULED: US 167 (Johnston Street) NB & SB from West/East Broussard Rd. to Duhon Rd./South City Pkwy., Lafayette Parish, Alternating Lane Closures"
9/15/2020,"I-10, Jefferson and St. Charles Parish, S.P. No. H.011670"
9/15/2020,x
