date,closed,report
9/11/2020,,"I-10 Eastbound and Westbound from MM 103 (I-49) to MM 109 (LA 328 – Breaux Bridge), Lafayette/St. Martin Parish – Intermittent Short Term Lane Closure"
9/11/2020,,"I-10 WB from MM 103 to MM 104, St. Martin Parish, Lane Closure H.003003"
9/11/2020,,I-10- Partial Road Closure - Project #: H.011024 - St. Tammany Parish (Oak Harbor Blvd.)
9/11/2020,,US 190 LANE CLOSURE AT LITTLE NATALBANY RIVER BRIDGE IN ALBANY
9/11/2020,,"I-310, St. Charles Parish, S.P. H.012617"
9/11/2020,,I-10 - Partial Road Closure -  Project #: H.011024 - St. Tammany Parish - Slidell
9/11/2020,,"UPDATE: Reopened- I-10 WB exit ramp for US 90, US 90 eastbound overpass - Calcasieu Parish"
9/11/2020,,"LA 611-1 (River Road) from Arnoult Road to Highway Drive, Jefferson Parish, S.P. No H.012161"
9/11/2020,,I-10- Partial Road Closure - Project #: H.011024 - St. Tammany Parish (I-10 Ramps)
9/11/2020,,"LA 18 (River Road), St. Charles Parish, S.P. H.012600"
9/11/2020,,I-12 - Full Ramp Closure -  Project #: H.011152 I-12: US 190 - LA 59 - St. Tammany Parish
9/11/2020,,"US 61, EAST & WEST FELICIANA, ST.FRANCISVILLE, H.013193"
9/11/2020,,UPDATE - ROAD CLOSURE:  US 190 - TANGIPAHOA PARISH
9/11/2020,,"US 90, Jefferson and St. Charles Parish, H.012051.6"
9/11/2020,,"LA 541, Jefferson Parish, H.012553.6"
9/11/2020,,*Update - Reopened* Hwy 465; Rapides and Vernon Parish
9/11/2020,,** REMINDER ** LA 440 - Full Road Closure - St. Helena Parish
9/11/2020,,"REVISED: LA 3152 Clearview Pkwy W. Metairie to Argonne St., Jefferson Parish, H.012571"
9/11/2020,," I-10, Orleans Parish, H.013587.6"
9/10/2020,,Lane closure on US 90 Business (Broad Street) – Calcasieu Parish
9/10/2020,,"** UPDATE: ROAD HAS REOPENED** LA 440, St Helena Parish, Road Closure"
9/10/2020,,LA 73/OLD JEFFERSON HIGHWAY (ASCENSION PARISH)  LANE CLOSURE
9/10/2020,,DOTD announces upcoming US 190 Bridge lane closure in East Baton Rouge Parish
9/10/2020,,"Crescent City Connection, US 90B, Orleans Parish"
9/10/2020,,"UPDATE: Black Bayou Bridge open to motorists, Grand Lake Bridge open - Cameron/Calcasieu Parishes"
9/10/2020,,"LA 182 at the Berwick Bay Bridge in Berwick, St. Mary Parish, Bridge Closure for Routine Bridge Inspections"
9/10/2020,,"I-10 EB on the Atchafalaya Basin Bridge from MM 120.5 to 127.5, St. Martin Parish, Lane Closure for Routine Bridge Inspections"
9/10/2020,,"LA 3073 (Ambassador Caffery Parkway) SB from Ridge Rd. to Acadiana Mall Access Drive, Lafayette Parish, Alternating Lane Closures"
9/10/2020,,"REVISED: I-10, Orleans Parish, H.013587.6"
