Index,User,Text,Date,Favorites,Retweets,Mentions,HashTags,streets,highways,exits,markers,road_closed,predictions,query,query_string,lat,lng,query_score,field_score
555,TotalTrafficHOU,Stalled vehicle affects the connecting ramp to w. loop 610 in #NwSide on US-290 NW EB at The W Lp #traffic http://bit.ly/17hsIjn,2020-08-28 14:30:43+00:00,0,0,,#NwSide #traffic,[],['us-290'],[],[],0.0,1.0,'us-290',us-290,30.44335,-91.18664,0.77,"{'country': 1.0, 'state': 0.89}"
488,TotalTrafficHOU,"Accident cleared in #Downtown on US-69 SW Fwy Inbound at US-59 Hov Lane/Main St, stop and go traffic back to Shepherd / Greenbriar #traffic http://bit.ly/17hsIjn",2020-08-28 23:25:43+00:00,0,0,,#Downtown #traffic,"['hov lane', 'main st']",['us-69'],[],[],,1.0,"'hov lane', 'main st','us-69'",hov+lane%2C++main+st%2C+us-69,29.99594,-91.79994,0.68,"{'country': 1.0, 'state': 0.89, 'streets': [0.95]}"
195,iembot_shv,"At 7:30 AM CDT, 7 NNW Hemphill [Sabine Co, TX] BROADCAST MEDIA reports HURRICANE. HIGHWAY 21 NEAR HIGHWAY 103 WAS CLOSED DUE TO MULTIPLE FALLEN TREES. OTHER TREES WERE DOWNED AT MADDUX CREEK, FM 276, AND FM 2024. https://mesonet.agron.iastate.edu/lsr/#SHV/202008271230/202008271230",2020-08-27 21:51:06+00:00,0,1,,,[],"['highway 21', 'highway 103']",[],[],1.0,1.0,"'highway 21', 'highway 103'",highway+21%2C++highway+103,30.415670000000002,-90.16171999999999,0.74,"{'state': 0.89, 'streets': [1.0], 'houseNumber': 1.0}"
654,TotalTrafficHOU,High water in various areas. use caution in #Galveston on FM-3005 Both EB/WB between CR-257 and TX-87/Avenue J/Broadway St #traffic http://bit.ly/17hsIjn,2020-08-27 03:45:43+00:00,1,1,,#Galveston #traffic,['broadway st'],[],[],[],,1.0,'broadway st',broadway+st,29.94633,-90.1197,0.99,"{'state': 0.89, 'streets': [1.0]}"
1008,CourtneyCW39,". @GalvCoTx Judge Mark Henry has lifted the mandatory evacuation order for the Bolivar Peninsula, HWY 87 is cleared &amp; the ferry is up &amp; running again. It’s now safe for Bolivar Peninsula residents to go home. @CW39Houston",2020-08-27 15:33:20+00:00,2,5,@GalvCoTx @CW39Houston,,[],['hwy 87'],[],[],1.0,1.0,'hwy 87',hwy+87,30.44335,-91.18664,0.61,{'state': 0.89}
621,GeorgetownTXFD,A transformer fire on Del Webb Blvd north of Trail of the Flowers is the cause of power outage in Sun City. The fire is out and traffic is moving on Del Webb. Use caution @georgetowntx utility workers are still in the area. @GeorgetownTXPD just cleared. Power is being restored. – at Legacy Hills Golf Course,2020-08-27 17:05:16+00:00,3,5,@georgetowntx @GeorgetownTXPD,,['webb blvd'],[],[],[],1.0,1.0,'webb blvd',webb+blvd,30.46528,-90.5455,0.75,"{'state': 0.89, 'streets': [0.9]}"
181,iembot_shv,"At 10:20 AM CDT, 7 WNW Robeline [Natchitoches Co, LA] TRAINED SPOTTER reports HURRICANE. TREES DOWN ON HIGHWAY 120. https://mesonet.agron.iastate.edu/lsr/#SHV/202008271520/202008271520",2020-08-28 17:58:27+00:00,0,0,,,[],['highway 120'],[],[],1.0,1.0,'highway 120',highway+120,31.73746,-93.41653000000001,0.99,"{'state': 0.89, 'streets': [1.0]}"
1016,CourtneyCW39,. @TxDOTBeaumont out of Chambers Co is on scene now starting to clear off HWY 87 near High Island. No estimated time on how long it will take just yet. @CW39Houston #Laura – at High Island Beach,2020-08-27 10:50:49+00:00,3,3,@TxDOTBeaumont @CW39Houston,#Laura,[],['hwy 87'],[],[],,1.0,'hwy 87',hwy+87,30.44335,-91.18664,0.61,{'state': 0.89}
580,TotalTrafficAUS,Disabled vehicle. right shoulder blocked in #Travis on I 35 SB at Parmer Ln/Exit 245 #ATXtraffic http://bit.ly/10BGKax,2020-08-27 23:35:43+00:00,0,0,,#Travis #ATXtraffic,[],[],['exit 245'],[],1.0,1.0,'exit 245',exit+245,30.57037,-92.07446,0.99,"{'state': 0.89, 'streets': [0.3], 'houseNumber': 1.0}"
622,TotalTrafficAUS,"Accident in #Travis on I-35 SB at 7th St/Exit 234, stopped traffic back to M L K Jr Blvd/Exit 235 #ATXtraffic http://bit.ly/10BGKax",2020-08-27 16:45:43+00:00,0,0,,#Travis #ATXtraffic,[],['i-35'],[],[],1.0,1.0,'i-35',i-35,30.44335,-91.18664,0.73,{'state': 0.89}
616,TotalTrafficAUS,Disabled vehicle. right shoulder blocked in #Travis on I-35 SB at Riverside Dr/Exit 233 #ATXtraffic http://bit.ly/10BGKax,2020-08-27 18:45:43+00:00,0,0,,#Travis #ATXtraffic,[],['i-35'],['exit 233'],[],1.0,1.0,"'i-35','exit 233'",i-35%2C+exit+233,30.493920000000003,-90.09458000000001,0.72,"{'state': 0.89, 'streets': [0.56], 'houseNumber': 1.0}"
489,TotalTrafficHOU,"Accident. two right lanes blocked in #WestSide on I-10 Katy Fwy Inbound at Dairy Ashford, stop and go traffic back to Eldridge Pkwy #traffic http://bit.ly/17hsIjn",2020-08-28 23:15:43+00:00,0,0,,#WestSide #traffic,['eldridge pkwy'],['i-10'],[],[],1.0,1.0,"'eldridge pkwy','i-10'",eldridge+pkwy%2C+i-10,30.15966,-92.03756,0.7,"{'state': 0.89, 'streets': [0.9]}"
1010,iembot_shv,"At 8:12 AM CDT, 5 SW Center [Shelby Co, TX] PUBLIC reports TROPICAL STORM. TREES DOWN AT FM 417 APROX 2 MILES WEST OF HWY 96 AND FM 2694 AT BOLES FIELD. https://mesonet.agron.iastate.edu/lsr/#SHV/202008271312/202008271312",2020-08-27 13:19:21+00:00,0,0,,,[],['hwy 96'],[],[],,1.0,'hwy 96',hwy+96,29.95262,-91.80026,0.85,"{'state': 0.89, 'streets': [0.5]}"
499,TotalTrafficHOU,"Accident. two left lanes blocked in #NwSide on N Sam Houston Pkwy EB after Bammel N. Houston, stop and go traffic back to Hwy 249 #traffic http://bit.ly/17hsIjn",2020-08-28 22:40:43+00:00,0,0,,#NwSide #traffic,['houston pkwy'],['hwy 249'],[],[],1.0,1.0,"'houston pkwy','hwy 249'",houston+pkwy%2C+hwy+249,32.19688,-92.85689,0.72,"{'state': 0.89, 'streets': [0.9], 'houseNumber': 1.0}"
618,TotalTrafficAUS,Disabled vehicle. right shoulder blocked in #SanMarcos on I-35 SB at Posey Rd/Exit 199 #ATXtraffic http://bit.ly/10BGKax,2020-08-27 17:25:43+00:00,0,0,,#SanMarcos #ATXtraffic,['posey rd'],['i-35'],['exit 199'],[],1.0,1.0,"'posey rd','i-35','exit 199'",posey+rd%2C+i-35%2C+exit+199,31.792370000000002,-93.19202,0.72,"{'state': 0.89, 'streets': [1.0], 'houseNumber': 1.0}"
202,TotalTrafficHOU,Closed to remove a down electrical line. in #Orange on I-10 WB between FM-105/Exit 861A and US-90/Exit 855 #traffic http://bit.ly/17hsIjn,2020-08-27 17:50:43+00:00,0,0,,#Orange #traffic,[],"['i-10', 'us-90']",['exit 855'],[],1.0,1.0,"'i-10', 'us-90','exit 855'",i-10%2C++us-90%2C+exit+855,30.00812,-90.01428,0.91,"{'country': 1.0, 'state': 0.89, 'streets': [1.0], 'placeName': 0.54}"
543,TotalTrafficBTR,Accident in #Livingston on I-12 WB before Hwy 63 /Frost Rd/Exit 22 #traffic http://bit.ly/12oyfoo,2020-08-28 16:15:43+00:00,0,0,,#Livingston #traffic,[],"['i-12', 'hwy 63']",['exit 22'],[],1.0,1.0,"'i-12', 'hwy 63','exit 22'",i-12%2C++hwy+63%2C+exit+22,30.47407,-90.75159000000001,0.77,"{'state': 0.89, 'streets': [1.0], 'placeName': 0.55}"
549,TotalTrafficHOU,"Accident. two right lanes blocked in #WestSide on I-10 Katy Inbound at Hwy 6, stop and go traffic back to Greenhouse #traffic http://bit.ly/17hsIjn",2020-08-28 15:15:43+00:00,0,0,,#WestSide #traffic,[],"['i-10', 'hwy 6']",[],[],1.0,1.0,"'i-10', 'hwy 6'",i-10%2C++hwy+6,30.035,-89.98148,0.73,"{'state': 0.89, 'streets': [1.0]}"
500,TotalTrafficBTR,Stall cleared in #EastBatonRougeParish on I 10 WB at LA-30/Nicholson Dr/LSU/Exit 155 A and LA-1/Port Allen/Plaquemine/Exit 153 #traffic http://bit.ly/12oyfoo,2020-08-28 22:40:43+00:00,0,0,,#EastBatonRougeParish #traffic,[],[],"['exit 155', 'exit 153']",[],0.0,1.0,"'exit 155', 'exit 153'",exit+155%2C++exit+153,30.570190000000004,-92.07298,0.68,"{'state': 0.89, 'streets': [0.3], 'houseNumber': 1.0}"
588,TotalTrafficHOU,"Accident cleared in #NorthSide on I-45 N Fwy Outbound at Cypresswood, stop and go traffic back to Paramatta/Hollow Tree Ln #traffic http://bit.ly/17hsIjn",2020-08-27 22:15:43+00:00,0,0,,#NorthSide #traffic,[],['i-45'],[],[],,1.0,'i-45',i-45,30.44335,-91.18664,0.73,{'state': 0.89}
650,MichelleKHOU,HAPPENING NOW: @TxDOT crews just brought in this heavy duty machinery to clear up large rocks littering Highway 87 here on High Island/Bolivar Peninsula after #HurricaneLaura’s strong waves pushed it in. The highways been shut down since last night bc of it. #KHOU11 #HTownRush – at High Island Beach,2020-08-27 10:46:06+00:00,56,147,@TxDOT,#HurricaneLaura #KHOU11 #HTownRush,[],['highway 87'],[],[],,1.0,'highway 87',highway+87,29.980629999999998,-91.75209,0.99,"{'state': 0.89, 'streets': [1.0]}"
617,TotalTrafficAUS,"Accident cleared in #Travis on I-35 SB at 7th St/Exit 234, stop and go traffic back to M L K Jr Blvd/Exit 235 #ATXtraffic http://bit.ly/10BGKax",2020-08-27 17:50:43+00:00,0,0,,#Travis #ATXtraffic,[],['i-35'],[],[],,1.0,'i-35',i-35,30.44335,-91.18664,0.73,{'state': 0.89}
