User,Text,Date,Favorites,Retweets,Mentions,HashTags
BTRtraffic,RT BR_Traffic The center lane is blocked on I-10 West at Essen Lane due to an accident. Congestion is minimal.,2020-09-03 23:56:21+00:00,0,0,,
BR_Traffic,The center lane is blocked on I-10 West at Essen Lane due to an accident. Congestion is minimal.,2020-09-03 23:50:57+00:00,1,0,,
BTRtraffic,RT BR_Traffic Congestion remains on I-12 East from Mile Marker 26 to Mile Marker 32. Use caution.,2020-09-03 23:30:46+00:00,0,0,,
NS_Traffic,Congestion remains on I-12 East from Mile Marker 26 to Mile Marker 32. Use caution.,2020-09-03 23:30:37+00:00,0,0,,
BR_Traffic,Congestion remains on I-12 East from Mile Marker 26 to Mile Marker 32. Use caution.,2020-09-03 23:30:32+00:00,1,0,,
BTRtraffic,RT BR_Traffic All lanes are now open on I-10 West on the Mississippi River Bridge. Congestion is approaching Siegen Lane on I-10 West. Congestion has reached Drusilla Lane on I-12 West.,2020-09-03 23:15:38+00:00,0,0,,
BR_Traffic,All lanes are now open on I-10 West on the Mississippi River Bridge. Congestion is approaching Siegen Lane on I-10 West. Congestion has reached Drusilla Lane on I-12 West.,2020-09-03 23:11:17+00:00,3,0,,
BTRtraffic,RT BR_Traffic The center lane is blocked on I-10 West at Perkins Road due to a disabled tractor trailer. Congestion is approaching Siegen Lane on I-10 West. Congestion has reached Drusilla Lane on I-12 West.,2020-09-03 23:11:09+00:00,0,0,,
BR_Traffic,The center lane is blocked on I-10 West at Perkins Road due to a disabled tractor trailer. Congestion is approaching Siegen Lane on I-10 West. Congestion has reached Drusilla Lane on I-12 West.,2020-09-03 23:07:12+00:00,0,0,,
BTRtraffic,RT BR_Traffic There is congestion on I-12 East from Mile Marker 29 to Mile Marker 32 (before Albany) due to vehicle recovery operations. Use caution.,2020-09-03 22:41:13+00:00,0,0,,
BR_Traffic,There is congestion on I-12 East from Mile Marker 29 to Mile Marker 32 (before Albany) due to vehicle recovery operations. Use caution.,2020-09-03 22:37:33+00:00,1,0,,
NS_Traffic,There is congestion on I-12 East from Mile Marker 29 to Mile Marker 32 (before Albany) due to vehicle recovery operations. Use caution.,2020-09-03 22:37:28+00:00,0,0,,
BTRtraffic,RT BR_Traffic The center lane is now open and the right lane remains blocked on I-10 West on the Mississippi River Bridge due to an accident. Congestion is approaching Bluebonnet Boulevard on I-10 West. Congestion is approaching Essen Lane on I-12 West.,2020-09-03 22:21:08+00:00,0,0,,
BR_Traffic,The center lane is now open and the right lane remains blocked on I-10 West on the Mississippi River Bridge due to an accident. Congestion is approaching Bluebonnet Boulevard on I-10 West. Congestion is approaching Essen Lane on I-12 West.,2020-09-03 22:18:45+00:00,0,0,,
wbrztraffic,Thank you!,2020-09-03 22:18:02+00:00,0,1,,
NOLA_Traffic,All lanes are open on US 90B East on the Crescent City Connection Bridge. Congestion is minimal.,2020-09-03 22:14:44+00:00,0,0,,
NOLA_Traffic,The left lane is blocked on US 90B East on the Crescent City Connection Bridge due to an accident. Congestion is minimal.,2020-09-03 22:09:20+00:00,0,0,,
LC_Traffic,All lanes are open on I-10 West on the Calcasieu River Bridge. Congestion has reached three miles.,2020-09-03 22:04:04+00:00,0,0,,
LC_Traffic,The right lane is blocked on I-10 West on the Calcasieu River Bridge due to a stalled vehicle. Congestion is approaching two miles in length.,2020-09-03 21:52:37+00:00,0,0,,
BTRtraffic,RT BR_Traffic Congestion has cleared I-10 West from Mile Marker 34 (Albany) to Mile Marker 31.,2020-09-03 21:40:48+00:00,0,0,,
BTRtraffic,RT BR_Traffic The center and right lanes are blocked on I-10 West on the Mississippi River Bridge due to a disabled vehicle. Congestion has reached Dalrymple Drive.,2020-09-03 21:40:47+00:00,0,0,,
BR_Traffic,The center and right lanes are blocked on I-10 West on the Mississippi River Bridge due to a disabled vehicle. Congestion has reached Dalrymple Drive.,2020-09-03 21:38:17+00:00,1,0,,
NS_Traffic,Congestion has cleared I-10 West from Mile Marker 34 (Albany) to Mile Marker 31.,2020-09-03 21:37:11+00:00,0,0,,
BR_Traffic,Congestion has cleared I-10 West from Mile Marker 34 (Albany) to Mile Marker 31.,2020-09-03 21:37:04+00:00,1,0,,
BTRtraffic,RT BR_Traffic All lanes are open I-10 East at Mile Marker 31 (before Albany). Congestion remains 3 miles in length.,2020-09-03 21:01:15+00:00,0,0,,
BR_Traffic,All lanes are open I-10 East at Mile Marker 31 (before Albany). Congestion remains 3 miles in length.,2020-09-03 20:58:49+00:00,0,0,,
NS_Traffic,All lanes are open I-10 East at Mile Marker 31 (before Albany). Congestion remains 3 miles in length.,2020-09-03 20:58:43+00:00,1,0,,
La_DOTD,DOTD crews on La. 3253 in Evangeline Parish clearing the road.,2020-09-03 20:36:09+00:00,0,8,,
La_DOTD,Debris pickup on La. 742 in Evangeline Parish.,2020-09-03 20:35:12+00:00,0,5,,
BTRtraffic,RT BR_Traffic There is congestion I-12 West from Mile Marker 34 (Albany) to Mile Marker 31 due to an accident in the area. Use caution.,2020-09-03 20:28:25+00:00,0,0,,
NS_Traffic,There is congestion I-12 West from Mile Marker 34 (Albany) to Mile Marker 31 due to an accident in the area. Use caution.,2020-09-03 20:26:31+00:00,1,0,,
BR_Traffic,There is congestion I-12 West from Mile Marker 34 (Albany) to Mile Marker 31 due to an accident in the area. Use caution.,2020-09-03 20:26:26+00:00,0,0,,
La_DOTD,"DOTD crews from the Hammond Office traveled to the other end of the state to help clear La. 389 in and around DeQuincy, La.",2020-09-03 20:18:35+00:00,4,22,,
BTRtraffic,RT BR_Traffic The left lane is blocked I-12 East at Mile Marker 31 (before Albany) due to an accident. Congestion has reached 2 miles.,2020-09-03 20:13:43+00:00,0,0,,
BR_Traffic,The left lane is blocked I-12 East at Mile Marker 31 (before Albany) due to an accident. Congestion has reached 2 miles.,2020-09-03 20:10:32+00:00,0,0,,
NS_Traffic,The left lane is blocked I-12 East at Mile Marker 31 (before Albany) due to an accident. Congestion has reached 2 miles.,2020-09-03 20:10:28+00:00,0,0,,
NOLA_Traffic,All lanes are open on I-10 West at mp 200. Congestion from this incident has reached four miles.,2020-09-03 20:10:23+00:00,0,0,,
NOLA_Traffic,The left lane remains blocked on I-10 West at mp 200 due to an accident. Congestion from this incident is minimal.,2020-09-03 19:52:41+00:00,1,1,,
La_DOTD,DOTD’s bridge crew conduct manual tests on the Black Bayou Bridge in Calcasieu Parish to allow US Coast Guard boat through following Hurricane Laura.,2020-09-03 18:23:59+00:00,4,5,,
NOLA_Traffic,The left lane is blocked on I-10 West at mp 200 due to an accident. Congestion from this incident is minimal.,2020-09-03 18:14:45+00:00,0,0,,
BTRtraffic,RT BR_Traffic All lanes are now open I-10 West past College Drive. Congestion is minimal.,2020-09-03 17:32:26+00:00,0,0,,
BR_Traffic,All lanes are now open I-10 West past College Drive. Congestion is minimal.,2020-09-03 17:27:59+00:00,0,0,,
NS_Traffic,"All lanes are open I-10 East at the MS State Line. Congestion has reached I-10/12/59, motorists should expect a 5 mile delay. Use caution.",2020-09-03 15:49:44+00:00,0,0,,
BTRtraffic,RT BR_Traffic All lanes are open I-10 West past LA 73. Congestion has reached 2 miles.,2020-09-03 15:27:51+00:00,0,0,,
BR_Traffic,All lanes are open I-10 West past LA 73. Congestion has reached 2 miles.,2020-09-03 15:24:46+00:00,3,0,,
BTRtraffic,RT BR_Traffic The left lane is blocked I-10 West past LA 73 due to an accident. Congestion is approaching 1 mile.,2020-09-03 15:13:04+00:00,0,0,,
BR_Traffic,The left lane is blocked I-10 West past LA 73 due to an accident. Congestion is approaching 1 mile.,2020-09-03 15:12:51+00:00,2,0,,
BTRtraffic,"Did you know BTRTraffic is powered by users all over Baton Rouge! Just start your tweet w/ BTRtraffic or #BTRtraffic to contribute traffic updates and your post will be retweeted! Contribute today! Sep 3, 2020",2020-09-03 15:04:26+00:00,0,0,,#BTRtraffic
BTRtraffic,RT BR_Traffic The left lane is blocked on I-10 West past College Drive due to an accident. Congestion is approaching the I-10/I-12.,2020-09-03 15:03:25+00:00,0,0,,
BR_Traffic,The left lane is blocked on I-10 West past College Drive due to an accident. Congestion is approaching the I-10/I-12.,2020-09-03 15:02:44+00:00,2,0,,
NS_Traffic,The right lane is blocked I-10 East at MS State Line due to a disabled tractor trailer. Congestion is approaching 2 miles.,2020-09-03 14:57:41+00:00,0,0,,
LC_Traffic,All lanes are now open on I-10 East at Lakeshore Drive. Congestion remains approximately 3 miles.,2020-09-03 14:47:57+00:00,0,0,,
LC_Traffic,The left lane is blocked on I-10 East at Lakeshore Drive due to an accident. Congestion is approaching 3 miles.,2020-09-03 14:00:45+00:00,0,1,,
BTRtraffic,RT BR_Traffic All lanes are now open I-10 East at LA 1 (Port Allen). Congestion has reached LA 415 (Lobdell).,2020-09-03 13:37:07+00:00,0,0,,
BR_Traffic,All lanes are now open I-10 East at LA 1 (Port Allen). Congestion has reached LA 415 (Lobdell).,2020-09-03 13:35:42+00:00,2,0,,
La_DOTD,#TBT - 1925-26 Natchitoches-Leeville Highway looking toward Provencal.,2020-09-03 13:35:08+00:00,1,5,,#TBT
BTRtraffic,RT BR_Traffic The right lane is blocked I-10 East at LA 1 (Port Allen) due to a stalled tractor trailer. Congestion is approaching LA 415 (Lobdell).,2020-09-03 13:32:00+00:00,0,0,,
NOLA_Traffic,All lanes are open on US 90B East at Earhart. Congestion from this incident has reached Tchoupitoulas Street.,2020-09-03 13:30:48+00:00,1,0,,
BR_Traffic,The right lane is blocked I-10 East at LA 1 (Port Allen) due to a stalled tractor trailer. Congestion is approaching LA 415 (Lobdell).,2020-09-03 13:29:34+00:00,1,0,,
NOLA_Traffic,The left lane is blocked on US 90B East at Earhart Boulevard due to an accident. Congestion from this accident has reached Camp Street.,2020-09-03 13:28:12+00:00,0,0,,
La_DOTD,We are very proud that DOTD's I-49 Segment K was chosen for the cover of the new 9th Edition of AASHTO Bridge Design Specifications. Segment K of I-49 is on the right and lower right side of each picture. http://ow.ly/PXMt30r7Wb7,2020-09-03 13:14:41+00:00,3,9,,
BTRtraffic,RT BR_Traffic All lanes are open I-10 West past LA 3000 (Ramah). Congestion remains 4 miles in length.,2020-09-03 13:11:22+00:00,0,0,,
Laf_Traffic,All lanes are open I-10 West past LA 3000 (Ramah). Congestion remains 4 miles in length.,2020-09-03 13:10:03+00:00,0,0,,
BR_Traffic,All lanes are open I-10 West past LA 3000 (Ramah). Congestion remains 4 miles in length.,2020-09-03 13:09:58+00:00,3,0,,
