Index,User,Text,Date,Favorites,Retweets,Mentions,HashTags,docs,streets,highways,exits,markers,road_closed
591,iembot_lch,"At 4:45 PM CDT, Burns Point [St. Mary Co, LA] PUBLIC reports STORM SURGE. STORM SURGE BEGINNING TO COVER PORTIONS OF HIGHWAY 317. PHOTOS VIA SOCIAL MEDIA. https://mesonet.agron.iastate.edu/lsr/#LCH/202008262145/202008262145",2020-08-27 21:47:48+00:00,0,0,,,"at 4:45 pm cdt, burns point [st. mary co, la] public reports storm surge. storm surge beginning to cover portions of highway 317. photos via social media. https://mesonet.agron.iastate.edu/lsr/#lch/202008262145/202008262145",[],['highway 317'],[],[],0
646,TotalTrafficBTR,Downed tree cleared in #WestBatonRouge on I 10 WB after LA-415/Lobdell/Exit 151 and before LA-77/Rosedale/Grosse Tete/Exit 139 #traffic http://bit.ly/12oyfoo,2020-08-27 11:50:43+00:00,0,0,,#WestBatonRouge #traffic,downed tree cleared in #westbatonrouge on i 10 wb after la-415/lobdell/exit 151 and before la-77/rosedale/grosse tete/exit 139 #traffic http://bit.ly/12oyfoo,[],[],"['exit 151', 'exit 139']",[],
402,TotalTrafficHOU,Accident. two left lanes blocked in #Spring on I-45 NB at Rayford / Sawdust #traffic http://bit.ly/17hsIjn,2020-08-30 16:00:43+00:00,0,0,,#Spring #traffic,accident. two left lanes blocked in #spring on i-45 nb at rayford / sawdust #traffic http://bit.ly/17hsijn,[],['i-45'],[],[],1
365,TotalTrafficHOU,"Construction work in #Baytown on I-10 EB at FM 3180/Exit 800, stopped traffic back to Sjolander #traffic http://bit.ly/17hsIjn",2020-08-31 11:55:44+00:00,0,0,,#Baytown #traffic,"construction work in #baytown on i-10 eb at fm 3180/exit 800, stopped traffic back to sjolander #traffic http://bit.ly/17hsijn",[],['i-10'],['exit 800'],[],1
428,TotalTrafficHOU,Accident. right lane blocked in #WestSide on W Sam Houston Tollway NB before The I-10 Katy Fwy #traffic http://bit.ly/17hsIjn,2020-08-29 18:55:43+00:00,0,0,,#WestSide #traffic,accident. right lane blocked in #westside on w sam houston tollway nb before the i-10 katy fwy #traffic http://bit.ly/17hsijn,['right lane'],['i-10'],[],[],1
451,TotalTrafficAUS,"Disabled vehicle, shoulder blocked in #Travis on I-35 NB at Ben White #ATXtraffic http://bit.ly/10BGKax",2020-08-29 12:50:43+00:00,0,0,,#Travis #ATXtraffic,"disabled vehicle, shoulder blocked in #travis on i-35 nb at ben white #atxtraffic http://bit.ly/10bgkax",[],['i-35'],[],[],1
928,HTMsports,Small steppin’ down memory lane. 15 yrs ago we got molly whopped,2020-08-27 16:33:51+00:00,0,5,,,small steppin’ down memory lane. 15 yrs ago we got molly whopped,['memory lane'],[],[],[],0
555,TotalTrafficHOU,Stalled vehicle affects the connecting ramp to w. loop 610 in #NwSide on US-290 NW EB at The W Lp #traffic http://bit.ly/17hsIjn,2020-08-28 14:30:43+00:00,0,0,,#NwSide #traffic,stalled vehicle affects the connecting ramp to w. loop 610 in #nwside on us-290 nw eb at the w lp #traffic http://bit.ly/17hsijn,[],['us-290'],[],[],0
908,BHGREGaryGreene,See a virtual tour of our listing on 18314 Harmony Bluff Lane #Houston #TX #realestate https://tour.corelistingmachine.com/home/EYMVX6,2020-08-28 22:34:55+00:00,0,0,,#Houston #TX #realestate,see a virtual tour of our listing on 18314 harmony bluff lane #houston #tx #realestate https://tour.corelistingmachine.com/home/eymvx6,['bluff lane'],[],[],[],0
851,TotalTrafficAUS,"Accident cleared in #Austin on I 35 SB at Berrywood Dr/Meadow Lark Ave, stop and go traffic back to Howard Ln/Exit 246 #ATXtraffic http://bit.ly/10BGKax",2020-08-24 14:25:43+00:00,0,0,,#Austin #ATXtraffic,"accident cleared in #austin on i 35 sb at berrywood dr/meadow lark ave, stop and go traffic back to howard ln/exit 246 #atxtraffic http://bit.ly/10bgkax",['lark ave'],[],['exit 246'],[],
994,TotalTrafficAUS,Vehicle on fire in #Georgetown on Hwy 29 EB before Cnty Rd 366 #ATXtraffic http://bit.ly/10BGKax,2020-08-29 16:30:43+00:00,0,0,,#Georgetown #ATXtraffic,vehicle on fire in #georgetown on hwy 29 eb before cnty rd 366 #atxtraffic http://bit.ly/10bgkax,['cnty rd'],['hwy 29'],[],[],1
306,KALBtv5,"The Louisiana Department of Transportation and Development, (DOTD), advises the public that the Jackson Street Bridge over the Red River IS NOW OPEN TO ALL TRAFFIC.",2020-08-31 21:20:44+00:00,2,1,,,"the louisiana department of transportation and development, (dotd), advises the public that the jackson street bridge over the red river is now open to all traffic.",['jackson street'],[],[],[],
739,TotalTrafficAUS,"Accident reported in #Williamson on I 35 NB at 620/Exit 252, stopped traffic back to Hesters Crossing/Bus 35 #ATXtraffic http://bit.ly/10BGKax",2020-08-26 01:35:43+00:00,0,0,,#Williamson #ATXtraffic,"accident reported in #williamson on i 35 nb at 620/exit 252, stopped traffic back to hesters crossing/bus 35 #atxtraffic http://bit.ly/10bgkax",[],[],['exit 252'],[],1
491,TotalTrafficAUS,"Accident. only the left lane getting by in #SanMarcos on I-35 NB at Hwy 123/Exit 204, stop and go traffic back to Mccarty Ln/Exit 201 #ATXtraffic http://bit.ly/10BGKax",2020-08-28 23:05:43+00:00,0,0,,#SanMarcos #ATXtraffic,"accident. only the left lane getting by in #sanmarcos on i-35 nb at hwy 123/exit 204, stop and go traffic back to mccarty ln/exit 201 #atxtraffic http://bit.ly/10bgkax",['left lane'],"['i-35', 'hwy 123']","['exit 204', 'exit 201']",[],1
114,WAFBTraffic,"Heads up drivers: I-10 heading towards Lafayette is still closed. The closure could last throughout the day, possibly into tomorrow. Plan an alternate route here: http://WAFB.com/traffic?utm_medium=social&amp;utm_source=twitter_WAFBTraffic",2020-09-01 13:00:01+00:00,0,0,,,"heads up drivers: i-10 heading towards lafayette is still closed. the closure could last throughout the day, possibly into tomorrow. plan an alternate route here: http://wafb.com/traffic?utm_medium=social&amp;utm_source=twitter_wafbtraffic",[],['i-10'],[],[],1
757,TotalTrafficAUS,"Accident. right shoulder blocked in #Austin on I-35 NB at Woodland Ave, slow traffic back to Oltorf St/Exit 232 #ATXtraffic http://bit.ly/10BGKax",2020-08-25 20:15:43+00:00,0,1,,#Austin #ATXtraffic,"accident. right shoulder blocked in #austin on i-35 nb at woodland ave, slow traffic back to oltorf st/exit 232 #atxtraffic http://bit.ly/10bgkax","['woodland ave', 'oltorf st']",['i-35'],['exit 232'],[],1
