,Unnamed: 0,User,Text,Date,Favorites,Retweets,Mentions,HashTags,docs,streets,highways,exits,markers,road_closed
7,283,TotalTrafficHOU,"Road construction, right lane closed in #EastSide on E Sam Houston Tollway SB approaching Pasadena Blvd/Red Bluff Rd #traffic http://bit.ly/17hsIjn",2020-09-03 18:00:43+00:00,0,0,,#EastSide #traffic,"road construction, right lane closed in #eastside on e sam houston tollway sb approaching pasadena blvd/red bluff rd #traffic http://bit.ly/17hsijn","['right lane', 'pasadena blvd', 'bluff rd']",[],[],[],1.0
9,423,TotalTrafficHOU,"Road construction, right lane closed in #EastSide on S Sam Houston Tollway EB between Fairmont Pkwy and Genoa Red Bluff #traffic http://bit.ly/17hsIjn",2020-09-03 14:55:43+00:00,0,1,,#EastSide #traffic,"road construction, right lane closed in #eastside on s sam houston tollway eb between fairmont pkwy and genoa red bluff #traffic http://bit.ly/17hsijn","['right lane', 'fairmont pkwy']",[],[],[],1.0
12,474,oilgasTicker,Downtown roads closed while crews respond to natural gas leak on Chalmers Street - WCBD News 2 http://dlvr.it/RfvYhy #NatGas #NaturalGas #OilandGas,2020-09-03 13:44:01+00:00,0,0,,#NatGas #NaturalGas #OilandGas,downtown roads closed while crews respond to natural gas leak on chalmers street - wcbd news 2 http://dlvr.it/rfvyhy #natgas #naturalgas #oilandgas,['chalmers street'],[],[],[],1.0
13,493,LongviewFire,1000 block of Sabine St is closed due to flooding,2020-09-03 13:33:49+00:00,3,1,,,1000 block of sabine st is closed due to flooding,['sabine st'],[],[],[],1.0
14,494,LongviewPolice,1000 block of Sabine St is closed due to flooding,2020-09-03 13:33:34+00:00,1,4,,,1000 block of sabine st is closed due to flooding,['sabine st'],[],[],[],1.0
15,497,TxDOTWacoPIO, I-35 northbound frontage road closed at US 84/Waco Dr. due to weather and high water. Drivers are being directed to the northbound mainlanes. Drive safe and use caution when traveling through the work zones.,2020-09-03 13:26:23+00:00,4,4,,, i-35 northbound frontage road closed at us 84/waco dr. due to weather and high water. drivers are being directed to the northbound mainlanes. drive safe and use caution when traveling through the work zones.,['frontage road'],"['i-35', 'us 84']",[],[],1.0
17,518,TotalTrafficHOU,"Closed due to accident in #Pearland on Hwy 288 NB between Cnty Rd 59 and FM 518, stopped traffic back to CR 101/Bailey Rd. #traffic http://bit.ly/17hsIjn",2020-09-03 13:00:44+00:00,0,0,,#Pearland #traffic,"closed due to accident in #pearland on hwy 288 nb between cnty rd 59 and fm 518, stopped traffic back to cr 101/bailey rd. #traffic http://bit.ly/17hsijn",['bailey rd'],['hwy 288'],[],[],1.0
24,535,BlueRidgeISD,HWY 78 is closed down north of The Trails of Blue Ridge due to a bad wreck. Please use a different route if possible. Morning bus routes may be delayed picking up students due to the road closure.,2020-09-03 12:34:37+00:00,0,1,,,hwy 78 is closed down north of the trails of blue ridge due to a bad wreck. please use a different route if possible. morning bus routes may be delayed picking up students due to the road closure.,[],['hwy 78'],[],[],1.0
25,542,newsjournal,"Part of West Marshall Avenue is closed due to flooding, and Longview Fire Department crews responded to other locations in the city due to water over the roadway. ",2020-09-03 12:15:04+00:00,1,0,,,"part of west marshall avenue is closed due to flooding, and longview fire department crews responded to other locations in the city due to water over the roadway. ",['marshall avenue'],[],[],[],1.0
26,552,LongviewFire,W Marshall Av and Ward St is closed (East and West bound) due to flooding.,2020-09-03 12:00:30+00:00,3,2,,,w marshall av and ward st is closed (east and west bound) due to flooding.,['ward st'],[],[],[],1.0
27,553,LongviewPolice,W Marshall Av and Ward St is closed (East and West bound) due to flooding.,2020-09-03 12:00:15+00:00,2,1,,,w marshall av and ward st is closed (east and west bound) due to flooding.,['ward st'],[],[],[],1.0
28,595,NOLA_Traffic,The left lane remains closed on I-10 East at Loyola Drive due to emergency roadwork. Congestion is minimal.,2020-09-03 06:44:52+00:00,0,0,,,the left lane remains closed on i-10 east at loyola drive due to emergency roadwork. congestion is minimal.,"['left lane', 'loyola drive']",['i-10'],[],[],1.0
30,701,wbreaux,"If you can exit , turn around. I-10 is closed at highland. Good luck",2020-09-03 02:40:47+00:00,0,0,,,"if you can exit , turn around. i-10 is closed at highland. good luck",[],['i-10'],[],[],1.0
31,708,danawbrz,I-10 remains closed at Bluff Rd. just before Highland Rd. Congestion is about 3.5 miles in length ,2020-09-03 02:33:03+00:00,1,1,,,i-10 remains closed at bluff rd. just before highland rd. congestion is about 3.5 miles in length ,"['bluff rd', 'highland rd']",['i-10'],[],[],1.0
33,716,NOLA_Traffic,The left lane remain closed on I-10 East at Loyola Drive due to emergency roadwork. Congestion is minimal.,2020-09-03 02:21:33+00:00,0,1,,,the left lane remain closed on i-10 east at loyola drive due to emergency roadwork. congestion is minimal.,"['left lane', 'loyola drive']",['i-10'],[],[],1.0
35,727,BTRtraffic,RT BR_Traffic Correction: I-10 East is closed at the I-10/I-110 due to an accident. Congestion has reached LA 415 (Lobdell). Motorists are advised to use an alternate route.,2020-09-03 02:01:30+00:00,0,0,,,rt br_traffic correction: i-10 east is closed at the i-10/i-110 due to an accident. congestion has reached la 415 (lobdell). motorists are advised to use an alternate route.,[],"['i-10', 'i-10', 'i-110', 'la 415']",[],[],1.0
36,728,BR_Traffic,Correction: I-10 East is closed at the I-10/I-110 due to an accident. Congestion has reached LA 415 (Lobdell). Motorists are advised to use an alternate route.,2020-09-03 02:00:26+00:00,1,1,,,correction: i-10 east is closed at the i-10/i-110 due to an accident. congestion has reached la 415 (lobdell). motorists are advised to use an alternate route.,[],"['i-10', 'i-10', 'i-110', 'la 415']",[],[],1.0
37,734,danawbrz,I-10 is temporarily CLOSED in two separate areas tonight due to accidents - I-10 East at the 10/110 - I-10 West at Highland Rd. Motorists are advised to use alternate routes ,2020-09-03 01:51:45+00:00,3,3,,,i-10 is temporarily closed in two separate areas tonight due to accidents - i-10 east at the 10/110 - i-10 west at highland rd. motorists are advised to use alternate routes ,['highland rd'],"['i-10', 'i-10', 'i-10']",[],[],1.0
